ratatatata;;
tunisia;;
enrage;;
pompa;;
soberano;;
rufus;;
santos;;
falkol;;
alma;;
maquinas;;
endpoint;;
wind and rain;;
fierce;;
mad lions;;
exile;;
melbet;;
red instinct;;
2byl9;;
bring me the horizon;;
kryvbas;;
majesty;;
waitfortag;;
navi junior;;
r-stars;;
wild;wild mutigaming;
vodkajuniors;;
revolution;;
uzbekistan;;
project major;;
galkynysh;;
ftw;;
exploit;;
jeste;;
unique;;
vilay;;
2115;;
extremum;;
triumph;;
fate;;
ex-bluejays;;
rugratz;;
mith.maple;;
august;;
opaa;;
yalla;;
100 thieves;;
ex-windigo;;
syntax;;
ahq;;
let's quit;;
laze;;
boom;;
ikarus;;
bren;;
brave of warriors;;
d7g;;
aster;;
lynn vision;;
wartex;;
blekingelaget;;
another bad habbit;;
ninjas to be;;
bobbys bjässar;;
man of the year;;
starwish;;
ale fan;;
valorix;;
lilmix;;
marskalk;;
crowns;;
visomvet;;
latchlinan;;
dendd;;
lumens;;
pt1se;;
rova-;;
9ine;;
no expectation;;
onoff;;
esportsadviser;;
x6tence;;
cleantmix;;
imperial;imperial (brazil);
wisla krakow;;
conquer;;
onethree;onethree.tsg;
ehome;;
mc;;
ex-singularity;;
phoenix;;
asterion;;
hard legion;;
ben's anime;;
catman;;
hukka;;
menacegg;;
ajuri;;
veto;;
kova;;
hreds;;
invictus;ig;
btrg;big time regal;
really weird;;
bpro;;
skade;;
nordavind;;
divine;;
ascent;;
dippers;;
buckets;;
fury;;
syf;;
rewound;;
jade;;
parallax;;
hentai hooligans;;
bizarre;;
zooweemama;;
madlikewizards;;
pc419;;
genuine;;
livid;;
rap gang;;
just swing;;
bushido boyz;;
big frames;;
monstars;;
peeker's advantage;;
new identity;;
riot squad;;
mac-51;;
se7en;;
evil geniuses;eg;
m1x;;
espada;;
red canids;;
ex-luminosity;;
ambush;;
japaleno;;
gamerzone;;
adwokacik;;
e-rivals;;
illuminar;;
smash;;
demise;;
turkey5;;
ex-epsilon;;
warthox;;
gambit youngsters;;
dreameaters;;
ffamix;;
heretics;;
nochance;;
offset;;
cr4zy;;
frenchfrogs;;
instinct;;
aristocracy;;
giants;;
redemption poa;;
w7m;;
infinity;infinity (colomb);
squared;;
avant;;
ground zero;;
lucid dream;;
entity;;
athletico;;
breakaway;;
paradox;;
detona;;
isurus;;
lazarus;;
atk;;
gamerlegion;;
ex-3dmax;;
france fe;;
lazarus fe;;
hysteria;;
arkangel fe;;
those damn canadians;;
tyloo fe;;
intact;;
the quest;;
party astronauts;;
mythic;;
zone;;
final feature;;
chaos;chaos (na);
x-kom;;
ukraine;;
enzo;;
tnc;;
wardell n friends;;
russia;;
panda;;
movistar riders;;
altima;;
viva algeria;;
absolute;;
frostfire;;
furious;;
denial;;
singularity;;
gtv.revolution;;
copenhagen flames;;
havu;;
codewise unicorns;;
izako boars;;
defusekids;;
pact;;
sj;;
massiveimpact;;
ancient;;
devils.one;;
bad news bears;;
pain;;
carnage fe;;
besiktas;;
crowns fe;;
clg red;;
pain fe;;
assassins;;
orgless fe;;
dignitas fe;;
old guys;;
tricked;;
furia;;
gosu;;
beyond;;
aequus;;
runtime;;
syman;;
spirit;;
nemiga;;
nasr;;
ecl;;
energy;;
chosen5;;
forze;;
shotcallers;;
x6tence galaxy;;
5power;;
pro100;;
teamone;one;
alpha red;;
vitality;;
torqued;;
swole patrol;;
ex-space soldiers;;
spacestation;;
fragsters;;
sprout;;
winstrike;;
não tem como;;
intz;;
windigo;;
rogue;;
eunited;;
azio;;
ghost;;
selfless;;
echo fox;;
quantum bellator fire;;
bravado;;
planetkey;;
myxmg;;
clan-mystik;;
universalsoldiers;;
recursive;;
lgb;;
xapso;;
reason;;
astana dragons;;
3dmax;;
absolute legends;;
dynamic;;
vexed;;
valiance;;
csgl;;
complexity;col;
irage;;
nostalgie;;
bx3;;
myrevenge;;
eyes on u;;
server-forge;;
curse;;
killerfish;;
alternate attax;;
wrtt;;
plan-b;;
lemondogs;;
temp.no;;
anexis;;
epsilon;;
quantic;;
virtus.pro;vp;
western wolves;;
vg.flash;;
ago;;
cyberzen;;
ex-titan;;
uya;;
mvp project;;
godsent;;
vg.cyberzen;;
vega squadron;;
splyce;;
vici;;
chiefs;;
avangar;;
order;;
themongolz;;
e-frag.net;;
tempo storm;;
legacy;;
progaming.td;;
lowlandlions;;
esc;;
fmesports;;
n!faculty;;
area 51;;
verygames;;
sharks;;
mvp pk;;
grayhound;;
misfits;;
nrg;;
penta;;
boot;;
ence;;
mibr;;
big;;
tyloo;;
space soldiers;;
heroic;;
immortals;;
optic;;
immunity;;
ebettle;;
renegades;;
mousesports;;
flipsid3;;
kinguin;;
wolves;;
london conspiracy;;
dat;;
vox eminor;;
cph wolves;;
ibuypower;;
ldlc;;
conquest;;
luminosity;;
?;;
keyd;keyd stars;
clg;;
cloud9;c9;
envy;;
titan;;
tsm;;
hellraisers;;
nip;ninjas in pyjamas;
fnatic;;
natus vincere;na'vi;
dignitas;;
gambit;;
liquid;;
faze;;
north;;
g2;;
astralis;;
sk;;
golden knights;;
